Epoches,Training_Loss,Validation_Loss
1,74.6964270882605,71.9826747737282
2,69.6317819403352,71.4981351445506
3,68.4641123753683,71.1889117113186
4,56.6732713465476,68.9995381484313
5,50.0443854245534,53.0737615850653
6,49.0981219412276,47.81215155344
7,48.7219446377094,44.122346332267
