,Epoches,Training_Loss,Validation_Loss
0,1.0,77.7207910745278,71.61560227005852
1,2.0,67.36951724393562,68.87159563469223
2,3.0,58.97077026864214,59.08803795302072
3,4.0,57.33091133561289,57.199845485140145
4,5.0,54.47258196111906,51.61606226350905
5,6.0,54.24327989414791,50.849993224456036
6,7.0,44.339649166570204,50.002064272206574
